Sound,Lighting,Automation,Stage Management,Direction,Production,Audience,Front of House,Video,Set,Acting/Presenting,Miscellaneous,Type,Name,Author,Director,Images,Image Credit,Private Notes,Notes,Start Date,Start Date Accuracy,End Date,Venue,Professional?, Fee ,Is Paid,Performances Attended
Sound Designer & Sound Operator,,,Stage Manager,,,,,,,,,Theatre,The Prince of Denmark,,Peter Chequer,,,,,2014-05-01,Y,,Millicent Fawcett Hall | Westminster School,FALSE,,FALSE,3
,,,Assistant Stage Manager,,,,,,,,,Theatre,Renaissance Festival 2014,,Peter Chequer,,,For 6th formers at Westminster during October As lower shell rare to be invited to work on event during first year of operation,,2014-10-01,Y,,Millicent Fawcett Hall | Westminster School,FALSE,,FALSE,0
Sound Designer,,,,,,,,,,,,Theatre,Renaissance Festival 2015,,Peter Chequer,,,For 6th formers at Westminster during October,,2015-10-01,M,,Millicent Fawcett Hall | Westminster School,FALSE,,FALSE,3
,,Head flyman (hemp),Stage Manager,,,,,,,,,Theatre,Guys & Dolls,,Peter Chequer,guysAndDolls.jpg,Sandy Crole,,,2015-03-01,M,,Up School | Westminster School,FALSE,,FALSE,3
,Lighting Operator,,,,,,,,,,,Theatre,Treasure Island,,Chris Barton,treasureIsland.jpg,Sandy Crole,,,2015-05-01,M,,Millicent Fawcett Hall Studio | Westminster School,FALSE,,FALSE,3
Sound Designer & Sound Mixer & Operator,,,,,Technical Manager,,,,,,,Theatre,A Midsummer Night's Dream,,Peter Chequer,midsummers.jpg,Sandy Crole,,,2015-06-01,M,,Millicent Fawcett Hall | Westminster School,FALSE,,FALSE,3
Sound Designer & Sound Operator,,,,,,,,,,,,Theatre,39th Annual PHAB Show,,Ransford Agyare-Kwabi,,,,,2015-07-01,M,,Up School | Westminster School,FALSE,,FALSE,1
,,,,Co-Director,Producer & Programme Designer,,,,,,,Theatre,Black Comedy,Peter Shaffer,James Bithell & Laura de Lisle,blackComedy.jpg,Sandy Crole,Responsible for a cast and crew of 15 - Got a new lighting rig for venue,,2015-09-21,D,,Millicent Fawcett Hall Studio | Westminster School,FALSE,,FALSE,3
Sound Designer,,,,,,,,Camera Operator,,,,Theatre,Hippolytus,,Amy Gandon,,,,,2016-03-01,M,,Millicent Fawcett Hall Studio | Westminster School,FALSE,,FALSE,1
Standby Technician,,,,,,,,,,,,Theatre,Desperate Measures,,Chris Barton,desperateMeasures.jpg,Sandy Crole,Responsible for emergency cover & repairs. Mixed sound on last night. Repaired cans link on first night,,2016-05-01,M,,Millicent Fawcett Hall | Westminster School,FALSE,,FALSE,3
